id,image_url,caption,name,hp,set_name
base4-1,https://images.pokemontcg.io/base4/1_hires.png,"A Stage 2 Pokemon Card of type Psychic with the title Alakazam and 80 HP of rarity Rare Holo evolved from Kadabra from the set Base Set 2 and the flavor text: Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5000. It has the attack Confuse Ray with the cost Psychic, Psychic, Psychic, the energy cost 3 and the damage of 30 with the description: Flip a coin. If heads, the Defending Pokemon is now Confused. It has the ability Damage Swap with the description: As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokemon to another as long as you don't Knock Out that Pokemon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed. It has weakness against Psychic 2. ",Alakazam,80,Base Set 2
pl1-1,https://images.pokemontcg.io/pl1/1_hires.png,"A Stage 2 Pokemon Card of type Lightning with the title Ampharos and 130 HP of rarity Rare Holo evolved from Flaaffy from the set Platinum.  It has the attack Gigavolt with the cost Lightning, Colorless, the energy cost 2 and the damage of 30+ with the description: Flip a coin. If heads, this attack does 30 damage plus 30 more damage. If tails, the Defending Pokemon is now Paralyzed. It has the attack Reflect Energy with the cost Lightning, Colorless, Colorless, the energy cost 3 and the damage of 70 with the description: Move an Energy card attached to Ampharos to 1 of your Benched Pokemon. It has the ability Damage Bind with the description: Each Pokemon that has any damage counters on it (both yours and your opponent's) can't use any Poke-Powers. It has weakness against Fighting +30. It has resistance against Metal -20. ",Ampharos,130,Platinum
dv1-1,https://images.pokemontcg.io/dv1/1_hires.png,"A Basic Pokemon Card of type Dragon with the title Dratini and 40 HP of rarity Rare Holo from the set Dragon Vault and the flavor text: It is called the ""Mirage Pokemon"" because so few have seen it. Its shed skin has been found. It has the attack Wrap with the cost Grass, Lightning, the energy cost 2 and the damage of 20 with the description: Flip a coin. If heads, the Defending Pokemon is now Paralyzed. It has weakness against Dragon 2. ",Dratini,40,Dragon Vault
dp3-1,https://images.pokemontcg.io/dp3/1_hires.png,"A Stage 2 Pokemon Card of type Lightning with the title Ampharos and 130 HP of rarity Rare Holo evolved from Flaaffy from the set Secret Wonders and the flavor text: The tip of its tail shines brightly. In the olden days, people sent signals using the tail's light. It has the attack Cluster Bolt with the cost Lightning, Colorless, Colorless, the energy cost 3 and the damage of 70 with the description: You may discard all Lightning Energy attached to Ampharos. If you do, this attack does 20 damage to each of your opponent's Benched Pokemon that has any Energy cards attached to it. (Don't apply Weakness and Resistance for Benched Pokemon.) It has the ability Jamming with the description: After your opponent plays a Supporter card from his or her hand, put 1 damage counter on each of your opponent's Pokemon. You can't use more than 1 Jamming Poke-Body each turn. It has weakness against Fighting +30. It has resistance against Metal -20. ",Ampharos,130,Secret Wonders
ecard2-H1,https://images.pokemontcg.io/ecard2/H1_hires.png,"A Stage 2 Pokemon Card of type Lightning with the title Ampharos and 100 HP of rarity Rare Holo evolved from Flaaffy from the set Aquapolis.  It has the attack Thundershock with the cost Lightning, the energy cost 1 and the damage of 20 with the description: Flip a coin. If heads, the Defending Pokemon is now Paralyzed. It has the attack Reflect Energy with the cost Lightning, Lightning, Colorless, the energy cost 3 and the damage of 50 with the description: If you have any Benched Pokemon and if there are any basic Energy cards attached to Ampharos, take 1 of those Energy cards and attach it to 1 of those Pokemon. It has weakness against Fighting 2. ",Ampharos,100,Aquapolis
hgss1-1,https://images.pokemontcg.io/hgss1/1_hires.png,"A Stage 1 Pokemon Card of type Fire with the title Arcanine and 110 HP of rarity Rare Holo evolved from Growlithe from the set HeartGold & SoulSilver and the flavor text: This legendary Chinese Pokemon is considered magnificent. Many people are enchanted by its grand mane. It has the attack Sharp Fang with the cost Fire, Colorless, the energy cost 2 and the damage of 50. It has the attack Fire Mane with the cost Fire, Colorless, Colorless, Colorless, the energy cost 4 and the damage of 90. It has weakness against Water 2. ",Arcanine,110,HeartGold & SoulSilver
gym1-1,https://images.pokemontcg.io/gym1/1_hires.png,"A Basic Pokemon Card of type Fire with the title Blaine's Moltres and 90 HP of rarity Rare Holo from the set Gym Heroes.  It has the attack Phoenix Flame with the cost Fire, Fire, Fire, Fire, Fire, the energy cost 5 and the damage of 90 with the description: Flip a coin. If tails, shuffle Blaine's Moltres and all cards attached to it into your deck (after doing damage). It has resistance against Fighting -30. ",Blaine's Moltres,90,Gym Heroes
base3-1,https://images.pokemontcg.io/base3/1_hires.png,"A Stage 1 Pokemon Card of type Fighting with the title Aerodactyl and 60 HP of rarity Rare Holo evolved from Mysterious Fossil from the set Fossil and the flavor text: A ferocious prehistoric Pokemon that goes for the enemy's throat with its serrated saw-like fangs. It has the attack Wing Attack with the cost Colorless, Colorless, Colorless, the energy cost 3 and the damage of 30. It has the ability Prehistoric Power with the description: No more Evolution cards can be played. This power stops working while Aerodactyl is Asleep, Confused, or Paralyzed. It has weakness against Grass 2. It has resistance against Fighting -30. ",Aerodactyl,60,Fossil
sm9-1,https://images.pokemontcg.io/sm9/1_hires.png,"A Basic, TAG TEAM, GX Pokemon Card of type Grass with the title Celebi & Venusaur-GX and 270 HP of rarity Rare Holo GX from the set Team Up.  It has the attack Pollen Hazard with the cost Grass, Colorless, Colorless, the energy cost 3 and the damage of 50 with the description: Your opponent's Active Pokemon is now Burned, Confused, and Poisoned. It has the attack Solar Beam with the cost Grass, Grass, Colorless, Colorless, the energy cost 4 and the damage of 150. It has the attack Evergreen-GX with the cost Grass, Grass, Colorless, Colorless, the energy cost 4 and the damage of 180 with the description: Heal all damage from this Pokemon. If this Pokemon has at least 1 extra Grass Energy attached to it (in addition to this attack's cost), shuffle all cards from your discard pile into your deck. (You can't use more than 1 GX attack in a game.) It has weakness against Fire 2. ",Celebi & Venusaur-GX,270,Team Up
xy2-1,https://images.pokemontcg.io/xy2/1_hires.png,"A Basic Pokemon Card of type Grass with the title Caterpie and 40 HP of rarity Common from the set Flashfire and the flavor text: For protection, it releases a horrible stench from the antennae on its head to drive away enemies. It has the attack Bug Bite with the cost Grass, the energy cost 1 and the damage of 10. It has the ability Adaptive Evolution with the description: This Pokemon can evolve during your first turn or the turn you play it. It has weakness against Fire 2. ",Caterpie,40,Flashfire
pop6-1,https://images.pokemontcg.io/pop6/1_hires.png,"A Stage 2 Pokemon Card of type Metal with the title Bastiodon and 130 HP of rarity Rare evolved from Shieldon from the set POP Series 6 and the flavor text: Any frontal attack is repulsed. It is a docile Pokemon that feeds on grass and berries. It has the attack Anger Revenge with the cost Metal, Metal, Colorless, the energy cost 3 and the damage of 60 with the description: If Bastiodon was damaged by an attack during your opponent's last turn, this attack does 40 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) It has the ability Protective Wall with the description: Prevent all damage done to your Benched Pokemon by your opponent's attacks. It has weakness against Fire +40. It has resistance against Psychic -20. ",Bastiodon,130,POP Series 6
pl1-2,https://images.pokemontcg.io/pl1/2_hires.png,"A Stage 2 Pokemon Card of type Water with the title Blastoise and 130 HP of rarity Rare Holo evolved from Wartortle from the set Platinum.  It has the attack Aqua Press with the cost Water, Colorless, the energy cost 2 and the damage of 20+ with the description: Does 20 damage plus 10 more damage for each Energy attached to all Pokemon (both yours and your opponent's). It has the attack Double Launcher with the cost Water, Water, Colorless, Colorless, the energy cost 4 with the description: Discard 2 Energy attached to Blastoise. Choose 2 of your opponent's Benched Pokemon. This attack does 60 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokemon.) Blastoise can't use Double Launcher during your next turn. It has the ability Dig Well with the description: Once during your turn (before your attack), you may look at the top 3 cards of your deck, choose as many Water Energy cards as you like, and attach them to your Pokemon in any way you like. Discard the other cards. This power can't be used if Blastoise is affected by a Special Condition. It has weakness against Lightning +30. ",Blastoise,130,Platinum
xy2-2,https://images.pokemontcg.io/xy2/2_hires.png,"A Stage 1 Pokemon Card of type Grass with the title Metapod and 70 HP of rarity Uncommon evolved from Caterpie from the set Flashfire and the flavor text: A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution. It has the attack Harden with the cost Colorless, Colorless, the energy cost 2 with the description: During your opponent's next turn, if this Pokemon would be damaged by an attack, prevent that attack's damage done to this Pokemon if that damage is 60 or less. It has the ability Adaptive Evolution with the description: This Pokemon can evolve during your first turn or the turn you play it. It has weakness against Fire 2. ",Metapod,70,Flashfire
ecard2-H2,https://images.pokemontcg.io/ecard2/H2_hires.png,"A Stage 1 Pokemon Card of type Fire with the title Arcanine and 90 HP of rarity Rare Holo evolved from Growlithe from the set Aquapolis.  It has the attack Fire Blow with the cost Colorless, Colorless, Colorless, the energy cost 3 and the damage of 30+ with the description: You may discard any number of Fire Energy cards attached to Arcanine when you use this attack. If you do, flip a number of coins equal to the number of Fire Energy cards you discarded. This attack does 30 damage plus 30 more damage for each heads. It has the ability Extreme Speed with the description: You pay Colorless less to retreat Arcanine for each Energy attached to it. It has weakness against Water 2. ",Arcanine,90,Aquapolis
hgss4-2,https://images.pokemontcg.io/hgss4/2_hires.png,"A Stage 1 Pokemon Card of type Colorless with the title Altaria and 90 HP of rarity Rare Holo evolved from Swablu from the set HSTriumphant and the flavor text: It flies gracefully through the sky. Its melodic humming makes you feel like you're in a dream. It has the attack Midnight Eyes with the cost Colorless, the energy cost 1 and the damage of 20 with the description: The Defending Pokemon is now Asleep. It has the attack Stadium Power with the cost Colorless, Colorless, Colorless, the energy cost 3 and the damage of 40+ with the description: If there is any Stadium card in play, this attack does 40 damage plus 30 more damage. It has weakness against Colorless 2. It has resistance against Fighting -20. ",Altaria,90,HS—Triumphant
pop6-2,https://images.pokemontcg.io/pop6/2_hires.png,"A Stage 1 Pokemon Card of type Fighting with the title Lucario and 90 HP of rarity Rare evolved from Riolu from the set POP Series 6 and the flavor text: It has the ability to sense the auras of all things. It understands human speech. It has the attack Feint with the cost Colorless, the energy cost 1 and the damage of 30 with the description: This attack's damage isn't affected by Resistance. It has the attack Aura Sphere with the cost Fighting, Fighting, the energy cost 2 and the damage of 40 with the description: Does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) It has weakness against Psychic +20. ",Lucario,90,POP Series 6
base3-2,https://images.pokemontcg.io/base3/2_hires.png,"A Basic Pokemon Card of type Water with the title Articuno and 70 HP of rarity Rare Holo from the set Fossil and the flavor text: A legendary bird Pokemon that is said to appear to doomed people who are lost in icy mountains. It has the attack Freeze Dry with the cost Water, Water, Water, the energy cost 3 and the damage of 30 with the description: Flip a coin. If heads, the Defending Pokemon is now Paralyzed. It has the attack Blizzard with the cost Water, Water, Water, Water, the energy cost 4 and the damage of 50 with the description: Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokemon. If tails, this attack does 10 damage to each of your own Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) It has resistance against Fighting -30. ",Articuno,70,Fossil
ex3-2,https://images.pokemontcg.io/ex3/2_hires.png,"A Stage 1 Pokemon Card of type Colorless with the title Altaria and 80 HP of rarity Rare Holo evolved from Swablu from the set Dragon.  It has the attack Dragon Dance with the cost Colorless, the energy cost 1 with the description: During your next turn, if any of your current Active Pokemon does damage to any Defending Pokemon, this attack does 40 more damage (before applying Weakness and Resistance). It has the attack Dragon Song with the cost Water, Lightning, the energy cost 2 and the damage of 30 with the description: Each Defending Pokemon is now Asleep. It has weakness against Colorless 2. It has resistance against Grass -30 and . Fighting -30. ",Altaria,80,Dragon
base4-2,https://images.pokemontcg.io/base4/2_hires.png,"A Stage 2 Pokemon Card of type Water with the title Blastoise and 100 HP of rarity Rare Holo evolved from Wartortle from the set Base Set 2 and the flavor text: A brutal Pokemon with pressurized water jets on its shell. They are used for high-speed tackles. It has the attack Hydro Pump with the cost Water, Water, Water, the energy cost 3 and the damage of 40+ with the description: Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way. It has the ability Rain Dance with the description: As often as you like during your turn (before your attack), you may attach 1 Water Energy card to 1 of your Water Pokemon. (This doesn't use up your 1 Energy card attachment for the turn.) This power can't be used if Blastoise is Asleep, Confused, or Paralyzed. It has weakness against Lightning 2. ",Blastoise,100,Base Set 2
pl3-2,https://images.pokemontcg.io/pl3/2_hires.png,"A Basic, SP Pokemon Card of type Fire with the title Blaziken FB and 80 HP of rarity Rare Holo from the set Supreme Victors.  It has the attack Luring Flame with the cost Fire, the energy cost 1 with the description: Switch the Defending Pokemon with 1 of your opponent's Benched Pokemon. The new Defending Pokemon is now Burned. It has the attack Vapor Kick with the cost Fire, Colorless, the energy cost 2 and the damage of 30+ with the description: If your opponent has any Water Pokemon in play, this attack does 30 damage plus 30 more damage. It has weakness against Water 2. ",Blaziken FB,80,Supreme Victors
ex11-2,https://images.pokemontcg.io/ex11/2_hires.png,"A Stage 2 Pokemon Card of type Grass, Metal with the title Crobat  and 90 HP of rarity Rare Holo evolved from Golbat from the set Delta Species.  It has the attack Radar Jam with the cost Colorless, Colorless, the energy cost 2 and the damage of 30 with the description: Your opponent can't play any Trainer cards (except for Supporter cards) from his or her hand during your opponent's next turn. It has the attack Target Attack with the cost Grass, Metal, Colorless, the energy cost 3 with the description: Choose 1 of your opponent's Pokemon. This attack does 40 damage to that Pokemon. If that Pokemon already has damage counters on it, this attack does 60 damage instead. (Don't apply Weakness and Resistance for Benched Pokemon.) It has weakness against Psychic 2. ",Crobat δ,90,Delta Species
dp3-2,https://images.pokemontcg.io/dp3/2_hires.png,"A Stage 2 Pokemon Card of type Water with the title Blastoise and 120 HP of rarity Rare Holo evolved from Wartortle from the set Secret Wonders and the flavor text: The jets of water it spouts from the rocket cannons on its shell can punch through thick steel. It has the attack Hydro Pump with the cost Water, Water, Colorless, the energy cost 3 and the damage of 50+ with the description: Does 50 damage plus 20 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. You can't add more than 40 damage in this way. It has the ability Waterlog with the description: Once during your turn (before your attack), you may attach as many basic Water Energy cards from your hand to any of your Pokemon in any way you like. If you do, your turn ends. This power can't be used if Blastoise is affected by a Special Condition. It has weakness against Lightning +30. ",Blastoise,120,Secret Wonders
sm9-2,https://images.pokemontcg.io/sm9/2_hires.png,"A Basic Pokemon Card of type Grass with the title Weedle and 40 HP of rarity Common from the set Team Up and the flavor text: Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head. It has the attack Tangle Drag with the cost Grass, the energy cost 1 with the description: Switch 1 of your opponent's Benched Pokemon with their Active Pokemon. It has the attack Bug Bite with the cost Grass, the energy cost 1 and the damage of 10. It has weakness against Fire 2. ",Weedle,40,Team Up
ru1-2,https://images.pokemontcg.io/ru1/2_hires.png,"A Stage 1 Pokemon Card of type Grass with the title Cherrim and 80 HP of rarity None evolved from Cherubi from the set Pokemon Rumble.  It has the attack Solarbeam with the cost Grass, Colorless, Colorless, the energy cost 3 and the damage of 60. It has weakness against Fire 2. It has resistance against Water -20. ",Cherrim,80,Pokémon Rumble
gym1-2,https://images.pokemontcg.io/gym1/2_hires.png,"A Stage 1 Pokemon Card of type Fighting with the title Brock's Rhydon and 80 HP of rarity Rare Holo evolved from Brock's Rhyhorn from the set Gym Heroes.  It has the attack Lariat with the cost Fighting, Fighting, Colorless, Colorless, the energy cost 4 and the damage of 70 with the description: Flip a coin. If tails, this attack does nothing. It has the ability Bench Guard with the description: As long as Brock's Rhydon is Benched, whenever 1 of your Benched Pokemon is damaged, you may do 10 of that damage to Brock's Rhydon instead. (If more than 1 of your Benched Pokemon is damaged at the same time, you may use this power once for each of them.) It has weakness against Grass 2. It has resistance against Lightning -30. ",Brock's Rhydon,80,Gym Heroes
xy5-2,https://images.pokemontcg.io/xy5/2_hires.png,"A Stage 1 Pokemon Card of type Grass with the title Kakuna and 80 HP of rarity Uncommon evolved from Weedle from the set Primal Clash and the flavor text: While awaiting evolution, it hides from predators under leaves and in nooks of branches. It has the attack Bug Bite with the cost Grass, the energy cost 1 and the damage of 20. It has weakness against Fire 2. ",Kakuna,80,Primal Clash
ex7-2,https://images.pokemontcg.io/ex7/2_hires.png,"A Stage 2 Pokemon Card of type Lightning, Darkness with the title Dark Ampharos and 120 HP of rarity Rare Holo evolved from Dark Flaaffy from the set Team Rocket Returns.  It has the attack Ram with the cost Colorless, Colorless, the energy cost 2 and the damage of 30. It has the attack Shock Bolt with the cost Lightning, Colorless, Colorless, the energy cost 3 and the damage of 70 with the description: Discard all Lightning Energy attached to Dark Ampharos. It has the ability Darkest Impulse with the description: As long as Dark Ampharos is in play, whenever your opponent plays an Evolution card from his or her hand to evolve 1 of his or her Pokemon, put 2 damage counters on that Pokemon. You can't use more than 1 Darkest Impulse Poke-Body each turn. It has weakness against Fighting 2. ",Dark Ampharos,120,Team Rocket Returns
det1-2,https://images.pokemontcg.io/det1/2_hires.png,"A Stage 2 Pokemon Card of type Grass with the title Ludicolo and 140 HP of rarity Rare evolved from Lombre from the set Detective Pikachu and the flavor text: If it hears festive music, all its muscles fill with energy. It can't help breaking out into a dance. It has the attack Punch and Run with the cost Grass, Colorless, Colorless, the energy cost 3 and the damage of 70 with the description: Switch this Pokemon with 1 of your Benched Pokemon. It has the ability Table Service with the description: Once during your turn (before your attack), you may heal 30 damage from 1 of your Pokemon. It has weakness against Fire 2. ",Ludicolo,140,Detective Pikachu
mcd19-2,https://images.pokemontcg.io/mcd19/2_hires.png,"A Stage 1 Pokemon Card of type Grass with the title Alolan Exeggutor and 160 HP of rarity None evolved from Exeggcute from the set McDonald's Collection 2019.  It has the attack Tropical Shake with the cost Grass, the energy cost 1 and the damage of 20+ with the description: This attack does 20 more damage for each type of basic Energy card in your discard pile. You can't add more than 100 damage in this way. ",Alolan Exeggutor,160,McDonald's Collection 2019
ex12-2,https://images.pokemontcg.io/ex12/2_hires.png,"A Stage 2 Pokemon Card of type Metal with the title Aggron and 110 HP of rarity Rare Holo evolved from Lairon from the set Legend Maker.  It has the attack Heavy Blow with the cost Fighting, Colorless, Colorless, the energy cost 3 and the damage of 70- with the description: Does 70 damage minus 10 damage for each damage counter on Aggron. If Aggron has any React Energy cards attached to it, this attack does 70 damage instead. It has the attack Bound Crush with the cost Fighting, Metal, Colorless, Colorless, the energy cost 4 with the description: Choose 1 of your opponent's Pokemon. This attack does 60 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) During your next turn, Aggron can't use Bound Crush. It has weakness against Fire 2. It has resistance against Grass -30. ",Aggron,110,Legend Maker
hgss1-2,https://images.pokemontcg.io/hgss1/2_hires.png,"A Stage 1 Pokemon Card of type Water with the title Azumarill and 90 HP of rarity Rare Holo evolved from Marill from the set HeartGold & SoulSilver and the flavor text: When it plays in water, it rolls up its elongated ears to prevent their insides from getting wet. It has the attack Waterfall with the cost Water, Water, the energy cost 2 and the damage of 40. It has the attack Bubblebeam with the cost Water, Colorless, Colorless, the energy cost 3 and the damage of 60 with the description: Flip a coin. If heads, the Defending Pokemon is now Paralyzed. It has weakness against Lightning 2. ",Azumarill,90,HeartGold & SoulSilver
ex14-1,https://images.pokemontcg.io/ex14/1_hires.png,"A Stage 1 Pokemon Card of type Psychic with the title Banette and 70 HP of rarity Rare Holo evolved from Shuppet from the set Crystal Guardians.  It has the attack Night Murmurs with the cost Psychic, Colorless, the energy cost 2 and the damage of 30 with the description: If the Defending Pokemon is a Basic Pokemon, that Pokemon is now Confused. It has the ability Safeguard with the description: Prevent all effects of attacks, including damage, done to Banette by your opponent's Pokemon-ex. It has weakness against Darkness 2. It has resistance against Fighting -30. ",Banette,70,Crystal Guardians
xy11-1,https://images.pokemontcg.io/xy11/1_hires.png,"A Basic Pokemon Card of type Grass with the title Tangela and 80 HP of rarity Common from the set Steam Siege and the flavor text: It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared. It has the attack Slam with the cost Grass, Colorless, the energy cost 2 and the damage of 30 with the description: Flip 2 coins. This attack does 30 damage times the number of heads. It has the attack Mega Drain with the cost Grass, Grass, Colorless, the energy cost 3 and the damage of 40 with the description: Heal 20 damage from this Pokemon. It has weakness against Fire 2. ",Tangela,80,Steam Siege
sm12-1,https://images.pokemontcg.io/sm12/1_hires.png,"A Basic, TAG TEAM, GX Pokemon Card of type Grass with the title Venusaur & Snivy-GX and 270 HP of rarity Rare Holo GX from the set Cosmic Eclipse.  It has the attack Forest Dump with the cost Grass, Colorless, Colorless, Colorless, the energy cost 4 and the damage of 160. It has the attack Solar Plant-GX with the cost Colorless, Colorless, Colorless, the energy cost 3 with the description: This attack does 50 damage to each of your opponent's Pokemon. If this Pokemon has at least 2 extra Energy attached to it (in addition to this attack's cost), heal all damage from all of your Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) (You can't use more than 1 GX attack in a game.) It has the ability Shining Vine with the description: Once during your turn, if this Pokemon is your Active Pokemon, when you attach a Grass Energy card from your hand to it, you may switch 1 of your opponent's Benched Pokemon with their Active Pokemon. It has weakness against Fire 2. ",Venusaur & Snivy-GX,270,Cosmic Eclipse
swsh35-1,https://images.pokemontcg.io/swsh35/1_hires.png,"A Basic, V Pokemon Card of type Grass with the title Venusaur V and 220 HP of rarity Rare Holo V from the set Champion's Path.  It has the attack Pollen Bomb with the cost Grass, Grass, Colorless, the energy cost 3 and the damage of 80 with the description: Your opponent's Active Pokemon is now Asleep and Poisoned. It has the attack Solar Typhoon with the cost Grass, Grass, Grass, Colorless, the energy cost 4 and the damage of 220 with the description: During your next turn, this Pokemon can't use Solar Typhoon. It has weakness against Fire 2. ",Venusaur V,220,Champion's Path
sm3-1,https://images.pokemontcg.io/sm3/1_hires.png,"A Basic Pokemon Card of type Grass with the title Caterpie and 50 HP of rarity Common from the set Burning Shadows and the flavor text: When attacked by bird Pokemon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey. It has the attack Surprise Attack with the cost Grass, the energy cost 1 and the damage of 20 with the description: Flip a coin. If tails, this attack does nothing. It has weakness against Fire 2. ",Caterpie,50,Burning Shadows
