card_id,attack_name,description,damage
base2-63,Leech Life,Remove a number of damage counters from Venonat equal to the damage done to the Defending Pokémon (after applying Weakness and Resistance).,10
basep-1,Growl,"If the Defending Pokémon attacks Pikachu during your opponent's next turn, any damage done by the attack is reduced by 10 (after applying Weakness and Resistance). (Benching either Pokémon ends this effect.)",
basep-1,Thundershock,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",20
basep-2,Light Screen,"Whenever an attack does damage to Electabuzz (after applying Weakness and Resistance) during your opponent's next turn, that attack only does half the damage to Electabuzz (rounded down to the nearest 10). (Any other effects of attacks still happen.)",
basep-2,Quick Attack,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",10+
basep-3,Energy Absorption,Choose up to 2 Energy cards from your discard pile and attach them to Mewtwo.,
basep-3,Psyburn,,40
basep-4,Recharge,Search your deck for a Lightning Energy card and attach it to Pikachu. Shuffle your deck afterward.,
basep-4,Thunderbolt,Discard all Energy cards attached to Pikachu in order to use this attack.,50
basep-5,Supersonic Flight,"Flip a coin. If tails, this attack does nothing.",60
basep-6,Quick Attack,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",10+
basep-6,Flames of Rage,Discard 2 Fire Energy cards attached to Arcanine in order to use this attack. This attack does 40 damage plus 10 more damage for each damage counter on Arcanine.,40+
basep-7,First Aid,Remove 1 damage counter from Jigglypuff.,
basep-7,Double-edge,Jigglypuff does 20 damage to itself.,40
basep-8,Psywave,Does 10 damage times the number of Energy cards attached to the Defending Pokémon.,10×
basep-8,Devolution Beam,"Choose an evolved Pokémon (your own or your opponent's). Return the highest Stage Evolution card on that Pokémon to its player's hand. That Pokémon is no longer Asleep, Confused, Paralyzed, or Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).",
basep-9,Psywave,Does 10 damage times the number of Energy cards attached to the Defending Pokémon.,10×
basep-9,Devolution Beam,"Choose an evolved Pokémon (your own or your opponent's). Return the highest Stage Evolution card on that Pokémon to its player's hand. That Pokémon is no longer Asleep, Confused, Paralyzed, or Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).",
basep-10,Cat Punch,"Flip a coin. If heads, this attack does 20 damage. If tails and if your opponent has any Benched Pokémon, he or she chooses 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)",
basep-11,Bite,,20
basep-12,Energy Control,"Flip a coin. If heads, choose a basic Energy card attached to 1 of your opponent's Pokémon and attach it to another of your opponent's Pokémon of your choice.",
basep-12,Telekinesis,Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.),
basep-13,Mega Drain,"Remove a number of damage counters from Venusaur equal to half the damage done to the Defending Pokémon (after applying Weakness and Resistance) (rounded up to the nearest 10). If Venusaur has fewer damage counters than that, remove all of them.",40
basep-14,Energy Absorption,Choose up to 2 Energy cards from your discard pile and attach them to Mewtwo.,
basep-14,Psyburn,,40
basep-15,Texture Magic,"You may change Cool Porygon's Resistance to a type of your choice other than Colorless. If the Defending Pokémon has a Weakness, you may change it to a type of your choice other than Colorless. (Benching either Pokémon ends the effect on that Pokémon.)",
basep-15,3-D Attack,Flip 3 coins. This attack does 20 damage times the number of heads.,20×
basep-17,Tempt,"If your opponent has any Benched Pokémon, flip a coin. If heads, choose 1 of your opponent's Benched Pokémon and switch it with the Defending Pokémon.",
basep-17,Poison Claws,"Flip a coin. if heads, the Defending Pokémon is now Poisoned.",10
basep-18,Miraculous Comeback,Flip a number of coins equal to the number of Pokémon in play. This attack does 10 damage times the number of heads. Then Team Rocket's Meowth does 10 damage times the number of tails to itself.,
basep-20,Headache,Your opponent can't play Trainer cards during his or her next turn.,
basep-20,Fury Swipes,Flip 3 coins. This attack does 10 damage times the number of heads.,10×
basep-21,Hyper Flame,"Flip a coin. If heads, discard 1 Fire Energy card attached to Moltres. If tails, discard all Energy cards attached to Moltres. If you can't discard Energy cards, this attack does nothing.",60
basep-22,Diamond Dust,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",20
basep-23,Lightning Burn,"Flip a coin. If heads, and if your opponent has any Benched Pokémon, choose 1 of them. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) If tails, Zapdos does 30 damage to itself.",30
basep-24,Birthday Surprise,"If it's not your birthday, this attack does 30 damage. If it is your birthday, flip a coin. If heads, this attack does 30 damage plus 50 more damage; if tails, this attack does 30 damage.",30+
basep-25,Thundershock,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
basep-25,Fly,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Flying Pikachu; if tails, this attack does nothing (not even damage).",30
basep-26,Scratch,,10
basep-26,Thunderbolt,Discard all Energy cards attached to Pikachu.,40
basep-27,Thundershock,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
basep-27,Agility,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Pikachu.",20
basep-28,Surf,,30
basep-29,Water Gun,Does 20 damage plus 10 more damage for each Energy attached to Marill but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.,20+
basep-30,Snivel,"If the Defending Pokémon attacks Togepi during your opponent's next turn, any damage done to Togepi is reduced by 20 (before applying Weakness and Resistance). (Benching either Pokémon ends this effect.)",
basep-30,Mini-Metronome,"Flip a coin. If heads, choose 1 of the Defending Pokémon's attacks. Mini-Metronome copies that attack except for its Energy cost. (You must still do anything else in order to use that attack.) (No matter what type the Defending Pokémon is, Togepi's type is still Colorless.) Togepi performs that attack.",
basep-31,Eek,Draw 2 cards.,
basep-32,Paint,"Flip a coin. If heads, choose a type (other than Colorless) and put a Coloring counter on the Defending Pokémon. That Pokémon is now the type you chose. If it already had a Coloring counter, remove the old one. If tails, this attack does nothing.",
basep-33,Leer,"Flip a coin. If heads, the Defending Pokémon can't attack Scizor during your opponent's next turn. (Benching either Pokémon ends this effect.)",
basep-33,Metal Pincer,Flip a coin until you get tails. This attack does 30 damage plus 10 more damage for each heads.,30+
basep-34,Protective Flame,"During your opponent's next turn, prevent all effects of attacks, including damage, done to your Benched Pokémon.",50
basep-35,Let's Play!,Search your deck for a Baby Pokémon card and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.),
basep-36,Good Night Song,The Defending Pokémon is now Asleep.,
basep-37,Repeating Kick,Flip a coin until you get tails. This attack does 20 damage times the number of heads.,20×
basep-37,Rapid Spin,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with his or her Active Pokémon, then, if you have any Benched Pokémon, you switch 1 of them with your Active Pokémon. (Do the damage before switching the Pokémon.)",30
basep-38,Hidden Power,,10
basep-39,Pain Split,Put 1 damage counter on the Defending Pokémon for each damage counter on Misdreavus.,
basep-39,Confuse Ray,"Flip a coin. If heads, the Defending Pokémon is now Confused.",10
basep-43,Seething Anger,Flip a number of coins equal to the number of damage counters on Machamp. This attack does 20 damage plus 10 more damage for each heads.,20+
basep-43,Fling,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)",50
basep-44,Burning Fire,"When you use this attack, you may discard any number of Fire Energy cards attached to your Pokémon in play. This attack does 10 damage plus 10 more damage for each Fire Energy card you discarded in this way.",10+
basep-44,Magma Punch,,40
basep-45,Slashing Strike,Scyther can't use this attack during your next turn. (Benching or evolving Scyther ends this effect.),40
basep-46,Lightning Rod,Choose 1 of your opponent's Pokémon and put a Lightning Rod marker on it. (A Pokémon can have only 1 Lightning Rod marker on it at a time.),
basep-46,Lightning Bolt,This attack does 20 damage to any Pokémon with a Lightning Rod marker on it. Apply Weakness and Resistance.,10
basep-47,Psyshock,"Flip a coin. If heads, the Defending Pokémon is now Confused.",10
basep-48,Ice Beam,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",30
basep-49,Roll Over,"Snorlax is now Asleep. Flip a coin. If heads, the Defending Pokémon is now Asleep.",30
base3-1,Wing Attack,,30
base3-2,Freeze Dry,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",30
base3-2,Blizzard,"Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",50
